title,price
"15.6"" HP 650 G1 i5-4300M 8GB 256GB SSD Windows 10 Professional Portatīvais dators",335.99
Dell 5480,336.3
Alurin Go Start,336.99
Dell M4800,337.0
HP 830 G5,337.0
"HP 840 G2 i5-5300U 16GB 120GB SSD Windows 10 Professional 14""",337.04
"HP 840 G2 i5-5300U 8GB 480GB SSD Windows 10 Professional 14""",337.04
Dell 7300,338.0
Dell M4800,338.0
HP 830 G5,338.0
ASUS Chromebook CM1 14 Inch 4/64GB Chrome OS QWERTZ,339.0
Lenovo Chromebook IdeaPad Slim 3 14inch 4/128GB Chrome OS,339.0
"15.6"" Ideapad 3 6405 4GB 128GB SSD Windows 10 Portatīvais dators",339.99
15'6 Lenovo L570 i5-6300u 4GB 240GB SSD Webcam Windows 10 Professional Portatīvais dators,339.99
Dell Lattitude E5470 i5-6300U 4GB 240GB SSD Windows 10 Professional ReNew Portatīvais dators,339.99
"14"" Thinkpad Ryzen 5 2500U 8GB 128GB SSD Windows 10 Professional Portatīvais dators",339.99
14 ThinkPad T470s i5-7300U 8GB 512GB SSD Windows 10 Professional Portatīvais dators,339.99
"14"" 5490 i5-7300U 8GB 256GB SSD Windows 10 Professional Portatīvais dators",339.99
"15.6"" Fujitsu A576 i5-6200 4GB 1TB SSD Windows 10 Pro Portatīvais dators",339.99
"14"" Latitude 7480 i5-7300 4GB 256GB SSD Windows 10 Professional Portatīvais dators",339.99
"14"" Latitude 7480 i5-7300 8GB 128GB SSD Windows 10 Professional Portatīvais dators",339.99
Dell 5480,341.05
"DELL E5580 15.6 1920x1080 i5-6200U 32GB 512SSD M.2 NVME WIN10Pro, atjaunots",341.05
Dell 5480,341.05
Dell Latitude 5480,341.05
Dell E5450,341.05
Lenovo IdeaPad 1 15IGL7 82V700AELT,342.3
Lenovo X270 12.5 1920x1080 i5-6200U 4GB 960SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],342.41
Lenovo V15-ADA (82C7005YPB),343.0
Dell 7300,343.0
"Lenovo ThinkPad E15 G1; i5-10210U|8GB|15.6""|256GB|Windows 11 PRO|Atjaunināts/Renew",344.0
Portatīvais dators Acer Extensa 15 EX215-22 Black,345.0
"15.6"" Acer Aspire 3 N4100 8GB 256GB SSD Windows 10 Professional Portatīvais dators",346.49
"HP 840 G2 i5-5300U 16GB 240GB SSD Windows 10 Professional 14""",347.54
Asus X515JA-BQ2624,348.0
"Dell Latitude e5480, melns",348.59
"14"" Dell e5480 i5-6300 16GB 120GB SSD FHD Windows 10 Professional Portatīvais dators",348.59
LENOVO ThinkPad T450 i5-4300U 14.0 HD+ 4GB 128GB Win10 PRO,349.0
"15.6"" A516MA N4020 8GB 256GB SSD FHD Windows 10 Portatīvais dators",349.99
"Portatīvais dators 15'6""; Lenovo L570 i5-6300u 8GB 120GB SSD Windows 10 Professional",349.99
Dell Lattitude E5470 i5-6300U 4GB 480GB SSD Windows 10 Professional ReNew Portatīvais dators,349.99
"14"" 3401 Vostro i3-1005G1 4GB 512GB SSD Windows 10 Professional Portatīvais dators",349.99
"14"" Lenovo L470 i5-6200U 16GB 480GB SSD Windows 10 Professional Portatīvais dators",349.99
"Portatīvais dators - Dell e7240, i5-4300u, 8GB, 120GB SSD, Microsoft Windows 10 Professional; Renew;",349.99
HP Folio Ultrabook G1 M3-6Y30 8GB 240GB SSD Windows 10 Professional ReNew Portatīvais dators,349.99
"15.6"" Fujitsu A576 i5-6200 8GB 1TB SSD Windows 10 Pro Portatīvais dators",349.99
14'' Latitude 7480 i5-7300 8GB 256GB SSD Windows 10 Professional Portatīvais dators,349.99
Dell Lattitude E5470 i5-6300U 8GB 240GB SSD Windows 10 Professional ReNew Portatīvais dators,349.99
Dell Lattitude E5470 i5-6300U 8GB 120GB SSD Windows 10 Professional ReNew Portatīvais dators,349.99
15'6 Lenovo L570 i5-6300u 4GB 120GB SSD Webcam Windows 10 Professional Portatīvais dators,349.99
Dell e7480 i5-6300U 8GB 120GB SSD Windows 10 Professional Portatīvais dators,349.99
"14"" 5490 i5-7300U 4GB 512GB SSD Windows 10 Professional Portatīvais dators",349.99
"DELL Latitude E7470 i5-6300U 14.0 QHD TouchScreen 8GB RAM 256GB SSD WebCam Win 10 Pro, atjaunots",350.0
"DELL E5580 15.6 1920x1080 i5-6200U 16GB 1TB SSD M.2 NVME WIN10Pro, atjaunots",350.55
Dell 5480,350.55
Dell Latitude 5480,350.55
Dell Latitude 5480,350.55
Dell 5480,350.55
DELL E5470 14 1920x1080 i5-6200U 8GB 1TB SSD M.2 NVME WIN10Pro WEBCAM RENEW,350.55
HP ProBook 430 G5,352.15
Dell M4800,353.0
Asus X515JA-BQ3326,354.0
Lenovo X270 12.5 1920x1080 i5-6200U 8GB 960SSD M.2 NVME WIN10Pro WEBCAM RENEW [refurbished],354.68
Dell 5480,355.3
"15.6"" HP 650 G1 i5-4300M 8GB 480GB SSD Windows 10 Professional Portatīvais dators",356.99
"15.6"" HP 650 G1 i5-4300M 16GB 120GB SSD Windows 10 Professional Portatīvais dators",356.99
Dell 7300,358.0
HP 830 G5,358.0
HP 830 G5,358.0
Dell M4800,358.0
"14"" Lenovo T450s i5-5300u 4GB 960GB SSD Windows 10 Professional Portatīvais dators",358.04
"14"" 5490 i5-7300U 16GB 128GB SSD Windows 10 Professional Portatīvais dators",359.99
14'' 3400 Vostro i3-1005G1 8GB 512GB SSD Windows 10 Professional Portatīvais dators,359.99
"14"" Latitude 7480 i5-7300 4GB 512GB SSD Windows 10 Professional Portatīvais dators",359.99
Dell e7480 i5-6300U 4GB 120GB SSD Windows 10 Professional Portatīvais dators,359.99
"15.6"" HP 650 G1 i5-4300M 4GB 960GB SSD Windows 10 Professional Portatīvais dators",359.99
"15.6"" Acer Extensa Celeron N4500 8GB 480GB SSD FHD Windows 10 Professional",359.99
"14"" 5490 i5-7300U 8GB 512GB SSD Windows 10 Professional Portatīvais dators",359.99
"14"" Lenovo T460 i5-6300U 4GB 960GB SSD Windows 10 Professional Portatīvais dators",359.99
"14"" Dell e5480 i5-6300 16GB 240GB SSD FHD Windows 10 Professional Portatīvais dators",359.99
Dell 7300,362.0
Dell 5480,364.8
HP EliteBook 845 G7 AMD Ryzen 3 PRO 4450U|8GB|256 GB|Windows 11 PRO|Atjaunots/Renew,365.0
"Lenovo ThinkPad T580; i5-8250U|16GB|15.6"" FHD|Nvidia MX150|256GB|Windows 11 PRO|Atjaunots/Renew",365.0
Asus Vivobook Go 15 L510 L510KA-EJ340WS,365.0
"14"" Dell E5490 i5-7300U 4GB 256GB SSD Windows 10 Professional Portatīvais dators",366.44
"15.6"" HP 650 G1 i5-4300M 16GB 240GB SSD Windows 10 Professional Portatīvais dators",367.49
"HP 840 G2 i5-5300U 4GB 960GB SSD Windows 10 Professional 14""",368.54
